cow_number;datetime;code_1_5;code_6_or_12;code_15;other_1;other_2
25;2019-12-19 10:37:53;1;12;0;0;0
25;2019-12-19 10:37:54;1;12;0;0;0
25;2019-12-19 10:37:55;1;12;0;0;0
25;2019-12-19 10:37:56;1;12;0;0;0
25;2019-12-19 10:37:57;1;12;0;0;0
25;2019-12-19 10:37:58;1;12;0;0;0
25;2019-12-19 10:37:59;1;12;0;0;0
25;2019-12-19 10:38:00;1;12;0;0;0
25;2019-12-19 10:38:01;1;12;0;0;0
25;2019-12-19 10:38:02;1;12;0;0;0
25;2019-12-19 10:38:03;1;12;0;0;0
25;2019-12-19 10:38:04;1;12;0;0;0
25;2019-12-19 10:38:05;1;12;0;0;0
25;2019-12-19 10:38:06;1;12;0;0;0
25;2019-12-19 10:38:07;1;12;0;0;0
25;2019-12-19 10:38:08;1;12;0;0;0
25;2019-12-19 10:38:09;1;12;0;0;0
25;2019-12-19 10:38:10;1;12;0;0;0
25;2019-12-19 10:38:11;1;12;0;0;0
25;2019-12-19 10:38:12;1;12;0;0;0
25;2019-12-19 10:38:13;1;12;0;0;0
25;2019-12-19 10:38:14;1;12;0;0;0
25;2019-12-19 10:38:15;1;12;0;0;0
25;2019-12-19 10:38:16;1;12;0;0;0
25;2019-12-19 10:38:17;1;12;0;0;0
25;2019-12-19 10:38:18;1;12;0;0;0
25;2019-12-19 10:38:19;1;12;0;0;0
25;2019-12-19 10:38:20;1;12;0;0;0
25;2019-12-19 10:38:21;1;12;0;0;0
25;2019-12-19 10:38:22;1;12;0;0;0
25;2019-12-19 10:38:23;1;12;0;0;0
25;2019-12-19 10:38:24;1;12;0;0;0
25;2019-12-19 10:38:25;1;12;0;0;0
25;2019-12-19 10:38:26;1;12;0;0;0
25;2019-12-19 10:38:27;1;12;0;0;0
25;2019-12-19 10:38:28;1;12;0;0;0
25;2019-12-19 10:38:29;1;12;0;0;0
25;2019-12-19 10:38:30;1;12;0;0;0
25;2019-12-19 10:38:31;1;12;0;0;0
25;2019-12-19 10:38:32;1;12;0;0;0
25;2019-12-19 10:38:33;1;12;0;0;0
25;2019-12-19 10:38:34;1;12;0;0;0
25;2019-12-19 10:38:35;1;12;0;0;0
25;2019-12-19 10:38:36;1;12;0;0;0
25;2019-12-19 10:38:37;1;12;0;0;0
25;2019-12-19 10:38:38;1;12;0;0;0
25;2019-12-19 10:38:39;1;12;0;0;0
25;2019-12-19 10:38:40;1;12;0;0;0
25;2019-12-19 10:38:41;1;12;0;0;0
25;2019-12-19 10:38:42;1;12;0;0;0
25;2019-12-19 10:38:43;1;12;0;0;0
25;2019-12-19 10:38:44;1;12;0;0;0
25;2019-12-19 10:38:45;1;12;0;0;0
25;2019-12-19 10:38:46;1;12;0;0;0
25;2019-12-19 10:38:47;1;12;0;0;0
25;2019-12-19 10:38:48;1;12;0;0;0
25;2019-12-19 10:38:49;1;12;0;0;0
25;2019-12-19 10:38:50;1;12;0;0;0
25;2019-12-19 10:38:51;1;12;0;0;0
25;2019-12-19 10:38:52;1;12;0;0;0
25;2019-12-19 10:38:53;1;12;0;0;0
25;2019-12-19 10:38:54;1;12;0;0;0
25;2019-12-19 10:38:55;1;12;0;0;0
25;2019-12-19 10:38:56;1;12;0;0;0
25;2019-12-19 10:38:57;1;12;0;0;0
25;2019-12-19 10:38:58;1;12;0;0;0
25;2019-12-19 10:38:59;1;12;0;0;0
25;2019-12-19 10:39:00;1;12;0;0;0
25;2019-12-19 10:39:01;1;12;0;0;0
25;2019-12-19 10:39:02;1;12;0;0;0
25;2019-12-19 10:39:03;1;12;0;0;0
25;2019-12-19 10:39:04;1;12;0;0;0
25;2019-12-19 10:39:05;1;12;0;0;0
25;2019-12-19 10:39:06;1;12;0;0;0
25;2019-12-19 10:39:07;1;12;0;0;0
25;2019-12-19 10:39:08;1;12;0;0;0
25;2019-12-19 10:39:09;1;12;0;0;0
25;2019-12-19 10:39:10;1;12;0;0;0
25;2019-12-19 10:39:11;1;12;0;0;0
25;2019-12-19 10:39:12;1;12;0;0;0
25;2019-12-19 10:39:13;1;12;0;0;0
25;2019-12-19 10:39:14;1;12;0;0;0
25;2019-12-19 10:39:15;1;12;0;0;0
25;2019-12-19 10:39:16;1;12;0;0;0
25;2019-12-19 10:39:17;1;12;0;0;0
25;2019-12-19 10:39:18;1;12;0;0;0
25;2019-12-19 10:39:19;1;12;0;0;0
25;2019-12-19 10:39:20;1;12;0;0;0
25;2019-12-19 10:39:21;1;12;0;0;0
25;2019-12-19 10:39:22;1;12;0;0;0
25;2019-12-19 10:39:23;1;12;0;0;0
25;2019-12-19 10:39:24;1;12;0;0;0
25;2019-12-19 10:39:25;1;12;0;0;0
25;2019-12-19 10:39:26;1;12;0;0;0
25;2019-12-19 10:39:27;1;12;0;0;0
25;2019-12-19 10:39:28;1;12;0;0;0
25;2019-12-19 10:39:29;1;12;0;0;0
25;2019-12-19 10:39:30;1;12;0;0;0
25;2019-12-19 10:39:31;1;12;0;0;0
25;2019-12-19 10:39:32;1;12;0;0;0
25;2019-12-19 10:39:33;1;12;0;0;0
25;2019-12-19 10:39:34;1;12;0;0;0
25;2019-12-19 10:39:35;1;12;0;0;0
25;2019-12-19 10:39:36;1;12;0;0;0
25;2019-12-19 10:39:37;1;12;0;0;0
25;2019-12-19 10:39:38;1;12;0;0;0
25;2019-12-19 10:39:39;1;12;0;0;0
25;2019-12-19 10:39:40;1;12;0;0;0
25;2019-12-19 10:39:41;1;12;0;0;0
25;2019-12-19 10:39:42;1;12;0;0;0
25;2019-12-19 10:39:43;1;12;0;0;0
25;2019-12-19 10:39:44;1;12;0;0;0
25;2019-12-19 10:39:45;1;12;0;0;0
25;2019-12-19 10:39:46;1;12;0;0;0
25;2019-12-19 10:39:47;1;12;0;0;0
25;2019-12-19 10:39:48;1;12;0;0;0
25;2019-12-19 10:39:49;1;12;0;0;0
25;2019-12-19 10:39:50;1;12;0;0;0
25;2019-12-19 10:39:51;1;12;0;0;0
25;2019-12-19 10:39:52;1;12;0;0;0
25;2019-12-19 10:39:53;1;12;0;0;0
25;2019-12-19 10:39:54;1;12;0;0;0
25;2019-12-19 10:39:55;1;12;0;0;0
25;2019-12-19 10:39:56;1;12;0;0;0
25;2019-12-19 10:39:57;1;12;0;0;0
25;2019-12-19 10:39:58;1;12;0;0;0
25;2019-12-19 10:39:59;1;12;0;0;0
25;2019-12-19 10:40:00;1;12;0;0;0
25;2019-12-19 10:40:01;1;12;0;0;0
25;2019-12-19 10:40:02;1;12;0;0;0
25;2019-12-19 10:40:03;1;12;0;0;0
25;2019-12-19 10:40:04;1;12;0;0;0
25;2019-12-19 10:40:05;1;12;0;0;0
25;2019-12-19 10:40:06;1;12;0;0;0
25;2019-12-19 10:40:07;1;12;0;0;0
25;2019-12-19 10:40:08;1;12;0;0;0
25;2019-12-19 10:40:09;1;12;0;0;0
25;2019-12-19 10:40:10;1;12;0;0;0
25;2019-12-19 10:40:11;1;12;0;0;0
25;2019-12-19 10:40:12;1;12;0;0;0
25;2019-12-19 10:40:13;1;12;0;0;0
25;2019-12-19 10:40:14;1;12;0;0;0
25;2019-12-19 10:40:15;1;12;0;0;0
25;2019-12-19 10:40:16;1;12;0;0;0
25;2019-12-19 10:40:17;1;12;0;0;0
25;2019-12-19 10:40:18;1;12;0;0;0
25;2019-12-19 10:40:19;1;12;0;0;0
25;2019-12-19 10:40:20;1;12;0;0;0
25;2019-12-19 10:40:21;1;12;0;0;0
25;2019-12-19 10:40:22;1;12;0;0;0
25;2019-12-19 10:40:23;1;12;0;0;0
25;2019-12-19 10:40:24;1;12;0;0;0
25;2019-12-19 10:40:25;1;12;0;0;0
25;2019-12-19 10:40:26;1;12;0;0;0
25;2019-12-19 10:40:27;1;12;0;0;0
25;2019-12-19 10:40:28;1;12;0;0;0
25;2019-12-19 10:40:29;1;12;0;0;0
25;2019-12-19 10:40:30;1;12;0;0;0
25;2019-12-19 10:40:31;1;12;0;0;0
25;2019-12-19 10:40:32;1;12;0;0;0
25;2019-12-19 10:40:33;1;12;0;0;0
25;2019-12-19 10:40:34;1;12;0;0;0
25;2019-12-19 10:40:35;1;12;0;0;0
25;2019-12-19 10:40:36;1;12;0;0;0
25;2019-12-19 10:40:37;1;12;0;0;0
25;2019-12-19 10:40:38;1;12;0;0;0
25;2019-12-19 10:40:39;1;12;0;0;0
25;2019-12-19 10:40:40;1;12;0;0;0
25;2019-12-19 10:40:41;1;12;0;0;0
25;2019-12-19 10:40:42;1;12;0;0;0
25;2019-12-19 10:40:43;1;12;0;0;0
25;2019-12-19 10:40:44;1;12;0;0;0
25;2019-12-19 10:40:45;1;12;0;0;0
25;2019-12-19 10:40:46;1;12;0;0;0
25;2019-12-19 10:40:47;1;12;0;0;0
25;2019-12-19 10:40:48;1;12;0;0;0
25;2019-12-19 10:40:49;1;12;0;0;0
25;2019-12-19 10:40:50;1;12;0;0;0
25;2019-12-19 10:40:51;1;12;0;0;0
25;2019-12-19 10:40:52;1;12;0;0;0
25;2019-12-19 10:40:53;1;12;0;0;0
25;2019-12-19 10:40:54;1;12;0;0;0
25;2019-12-19 10:40:55;1;12;0;0;0
25;2019-12-19 10:40:56;1;12;0;0;0
25;2019-12-19 10:40:57;1;12;0;0;0
25;2019-12-19 10:40:58;1;12;0;0;0
25;2019-12-19 10:40:59;1;12;0;0;0
25;2019-12-19 10:41:00;1;12;0;0;0
25;2019-12-19 10:41:01;1;12;0;0;0
25;2019-12-19 10:41:02;1;12;0;0;0
25;2019-12-19 10:41:03;1;12;0;0;0
25;2019-12-19 10:41:04;1;12;0;0;0
25;2019-12-19 10:41:05;1;12;0;0;0
25;2019-12-19 10:41:06;1;12;0;0;0
25;2019-12-19 10:41:07;1;12;0;0;0
25;2019-12-19 10:41:08;1;12;0;0;0
25;2019-12-19 10:41:09;1;12;0;0;0
25;2019-12-19 10:41:10;1;12;0;0;0
25;2019-12-19 10:41:11;1;12;0;0;0
25;2019-12-19 10:41:12;1;12;0;0;0
25;2019-12-19 10:41:13;1;12;0;0;0
25;2019-12-19 10:41:14;1;12;0;0;0
25;2019-12-19 10:41:15;1;12;0;0;0
25;2019-12-19 10:41:16;1;12;0;0;0
25;2019-12-19 10:41:17;1;12;0;0;0
25;2019-12-19 10:41:18;1;12;0;0;0
25;2019-12-19 10:41:19;1;12;0;0;0
25;2019-12-19 10:41:20;1;12;0;0;0
25;2019-12-19 10:41:21;1;12;0;0;0
25;2019-12-19 10:41:22;1;12;0;0;0
25;2019-12-19 10:41:23;1;12;0;0;0
25;2019-12-19 10:41:24;1;12;0;0;0
25;2019-12-19 10:41:25;1;12;0;0;0
25;2019-12-19 10:41:26;1;12;0;0;0
25;2019-12-19 10:41:27;1;12;0;0;0
25;2019-12-19 10:41:28;1;12;0;0;0
25;2019-12-19 10:41:29;1;12;0;0;0
25;2019-12-19 10:41:30;1;12;0;0;0
25;2019-12-19 10:41:31;1;12;0;0;0
25;2019-12-19 10:41:32;1;12;0;0;0
25;2019-12-19 10:41:33;1;12;0;0;0
25;2019-12-19 10:41:34;1;12;0;0;0
25;2019-12-19 10:41:35;1;12;0;0;0
25;2019-12-19 10:41:36;1;12;0;0;0
25;2019-12-19 10:41:37;1;12;0;0;0
25;2019-12-19 10:41:38;1;12;0;0;0
25;2019-12-19 10:41:39;1;12;0;0;0
25;2019-12-19 10:41:40;1;12;0;0;0
25;2019-12-19 10:41:41;1;12;0;0;0
25;2019-12-19 10:41:42;1;12;0;0;0
25;2019-12-19 10:41:43;1;12;0;0;0
25;2019-12-19 10:41:44;1;12;0;0;0
25;2019-12-19 10:41:45;1;12;0;0;0
25;2019-12-19 10:41:46;1;12;0;0;0
25;2019-12-19 10:41:47;1;12;0;0;0
25;2019-12-19 10:41:48;1;12;0;0;0
25;2019-12-19 10:41:49;1;12;0;0;0
25;2019-12-19 10:41:50;1;12;0;0;0
25;2019-12-19 10:41:51;1;12;0;0;0
25;2019-12-19 10:41:52;1;12;0;0;0
25;2019-12-19 10:41:53;1;12;0;0;0
25;2019-12-19 10:41:54;1;12;0;0;0
25;2019-12-19 10:41:55;1;12;0;0;0
25;2019-12-19 10:41:56;1;12;0;0;0
25;2019-12-19 10:41:57;1;12;0;0;0
25;2019-12-19 10:41:58;1;12;0;0;0
25;2019-12-19 10:41:59;1;12;0;0;0
25;2019-12-19 10:42:00;1;12;0;0;0
25;2019-12-19 10:42:01;1;12;0;0;0
25;2019-12-19 10:42:02;1;12;0;0;0
25;2019-12-19 10:42:03;1;12;0;0;0
25;2019-12-19 10:42:04;1;12;0;0;0
25;2019-12-19 10:42:05;1;12;0;0;0
25;2019-12-19 10:42:06;1;12;0;0;0
25;2019-12-19 10:42:07;1;12;0;0;0
25;2019-12-19 10:42:08;1;12;0;0;0
25;2019-12-19 10:42:09;1;12;0;0;0
25;2019-12-19 10:42:10;1;12;0;0;0
25;2019-12-19 10:42:11;1;12;0;0;0
25;2019-12-19 10:42:12;1;12;0;0;0
25;2019-12-19 10:42:13;1;12;0;0;0
25;2019-12-19 10:42:14;1;12;0;0;0
25;2019-12-19 10:42:15;1;12;0;0;0
25;2019-12-19 10:42:16;1;12;0;0;0
25;2019-12-19 10:42:17;1;12;0;0;0
25;2019-12-19 10:42:18;1;12;0;0;0
25;2019-12-19 10:42:19;1;12;0;0;0
25;2019-12-19 10:42:20;1;12;0;0;0
25;2019-12-19 10:42:21;1;12;0;0;0
25;2019-12-19 10:42:22;1;12;0;0;0
25;2019-12-19 10:42:23;1;12;0;0;0
25;2019-12-19 10:42:24;1;12;0;0;0
25;2019-12-19 10:42:25;1;12;0;0;0
25;2019-12-19 10:42:26;1;12;0;0;0
25;2019-12-19 10:42:27;1;12;0;0;0
25;2019-12-19 10:42:28;1;12;0;0;0
25;2019-12-19 10:42:29;1;12;0;0;0
25;2019-12-19 10:42:30;1;12;0;0;0
25;2019-12-19 10:42:31;1;12;0;0;0
25;2019-12-19 10:42:32;1;12;0;0;0
25;2019-12-19 10:42:33;1;12;0;0;0
25;2019-12-19 10:42:34;1;12;0;0;0
25;2019-12-19 10:42:35;1;12;0;0;0
25;2019-12-19 10:42:36;1;12;0;0;0
25;2019-12-19 10:42:37;1;12;0;0;0
25;2019-12-19 10:42:38;1;12;0;0;0
25;2019-12-19 10:42:39;1;12;0;0;0
25;2019-12-19 10:42:40;1;12;0;0;0
25;2019-12-19 10:42:41;1;12;0;0;0
25;2019-12-19 10:42:42;1;12;0;0;0
25;2019-12-19 10:42:43;1;12;0;0;0
25;2019-12-19 10:42:44;1;12;0;0;0
25;2019-12-19 10:42:45;1;12;0;0;0
25;2019-12-19 10:42:46;1;12;0;0;0
25;2019-12-19 10:42:47;1;12;0;0;0
25;2019-12-19 10:42:48;1;12;0;0;0
25;2019-12-19 10:42:49;1;12;0;0;0
25;2019-12-19 10:42:50;1;12;0;0;0
25;2019-12-19 10:42:51;1;12;0;0;0
25;2019-12-19 10:42:52;1;12;0;0;0
25;2019-12-19 10:42:53;1;12;0;0;0
25;2019-12-19 10:42:54;1;12;0;0;0
25;2019-12-19 10:42:55;1;12;0;0;0
25;2019-12-19 10:42:56;1;12;0;0;0
25;2019-12-19 10:42:57;1;12;0;0;0
25;2019-12-19 10:42:58;1;12;0;0;0
25;2019-12-19 10:42:59;1;12;0;0;0
25;2019-12-19 10:43:00;1;12;0;0;0
25;2019-12-19 10:43:01;1;12;0;0;0
25;2019-12-19 10:43:02;1;12;0;0;0
25;2019-12-19 10:43:03;1;12;0;0;0
25;2019-12-19 10:43:04;1;12;0;0;0
25;2019-12-19 10:43:05;1;12;0;0;0
25;2019-12-19 10:43:06;1;12;0;0;0
25;2019-12-19 10:43:07;1;12;0;0;0
25;2019-12-19 10:43:08;1;12;0;0;0
25;2019-12-19 10:43:09;1;12;0;0;0
25;2019-12-19 10:43:10;1;12;0;0;0
25;2019-12-19 10:43:11;1;12;0;0;0
25;2019-12-19 10:43:12;1;12;0;0;0
25;2019-12-19 10:43:13;1;12;0;0;0
25;2019-12-19 10:43:14;1;12;0;0;0
25;2019-12-19 10:43:15;1;12;0;0;0
25;2019-12-19 10:43:16;1;12;0;0;0
25;2019-12-19 10:43:17;1;12;0;0;0
25;2019-12-19 10:43:18;1;12;0;0;0
25;2019-12-19 10:43:19;1;12;0;0;0
25;2019-12-19 10:43:20;1;12;0;0;0
25;2019-12-19 10:43:21;1;12;0;0;0
25;2019-12-19 10:43:22;1;12;0;0;0
25;2019-12-19 10:43:23;1;12;0;0;0
25;2019-12-19 10:43:24;1;12;0;0;0
25;2019-12-19 10:43:25;1;12;0;0;0
25;2019-12-19 10:43:26;1;12;0;0;0
25;2019-12-19 10:43:27;1;12;0;0;0
25;2019-12-19 10:43:28;1;12;0;0;0
25;2019-12-19 10:43:29;1;12;0;0;0
25;2019-12-19 10:43:30;1;12;0;0;0
25;2019-12-19 10:43:31;1;12;0;0;0
25;2019-12-19 10:43:32;1;12;0;0;0
25;2019-12-19 10:43:33;1;12;0;0;0
25;2019-12-19 10:43:34;1;12;0;0;0
25;2019-12-19 10:43:35;1;12;0;0;0
25;2019-12-19 10:43:36;1;12;0;0;0
25;2019-12-19 10:43:37;1;12;0;0;0
25;2019-12-19 10:43:38;1;12;0;0;0
25;2019-12-19 10:43:39;1;12;0;0;0
25;2019-12-19 10:43:40;1;12;0;0;0
25;2019-12-19 10:43:41;1;12;0;0;0
25;2019-12-19 10:43:42;1;12;0;0;0
25;2019-12-19 10:43:43;1;12;0;0;0
25;2019-12-19 10:43:44;1;12;0;0;0
25;2019-12-19 10:43:45;1;12;0;0;0
25;2019-12-19 10:43:46;1;12;0;0;0
25;2019-12-19 10:43:47;1;12;0;0;0
25;2019-12-19 10:43:48;1;12;0;0;0
25;2019-12-19 10:43:49;1;12;0;0;0
25;2019-12-19 10:43:50;1;12;0;0;0
25;2019-12-19 10:43:51;1;12;0;0;0
25;2019-12-19 10:43:52;1;12;0;0;0
25;2019-12-19 10:43:53;1;12;0;0;0
25;2019-12-19 10:43:54;1;12;0;0;0
25;2019-12-19 10:43:55;1;12;0;0;0
25;2019-12-19 10:43:56;1;12;0;0;0
25;2019-12-19 10:43:57;1;12;0;0;0
25;2019-12-19 10:43:58;1;12;0;0;0
25;2019-12-19 10:43:59;1;12;0;0;0
25;2019-12-19 10:44:00;1;12;0;0;0
25;2019-12-19 10:44:01;1;12;0;0;0
25;2019-12-19 10:44:02;1;12;0;0;0
25;2019-12-19 10:44:03;1;12;0;0;0
25;2019-12-19 10:44:04;1;12;0;0;0
25;2019-12-19 10:44:05;1;12;0;0;0
25;2019-12-19 10:44:06;1;12;0;0;0
25;2019-12-19 10:44:07;1;12;0;0;0
25;2019-12-19 10:44:08;1;12;0;0;0
25;2019-12-19 10:44:09;1;12;0;0;0
25;2019-12-19 10:44:10;1;12;0;0;0
25;2019-12-19 10:44:11;1;12;0;0;0
25;2019-12-19 10:44:12;1;12;0;0;0
25;2019-12-19 10:44:13;1;12;0;0;0
25;2019-12-19 10:44:14;1;12;0;0;0
25;2019-12-19 10:44:15;1;12;0;0;0
25;2019-12-19 10:44:16;1;12;0;0;0
25;2019-12-19 10:44:17;1;12;0;0;0
25;2019-12-19 10:44:18;1;12;0;0;0
25;2019-12-19 10:44:19;1;12;0;0;0
25;2019-12-19 10:44:20;1;12;0;0;0
25;2019-12-19 10:44:21;1;12;0;0;0
25;2019-12-19 10:44:22;1;12;0;0;0
25;2019-12-19 10:44:23;1;12;0;0;0
25;2019-12-19 10:44:24;1;12;0;0;0
25;2019-12-19 10:44:25;1;12;0;0;0
25;2019-12-19 10:44:26;1;12;0;0;0
25;2019-12-19 10:44:27;1;12;0;0;0
25;2019-12-19 10:44:28;1;12;0;0;0
25;2019-12-19 10:44:29;1;12;0;0;0
25;2019-12-19 10:44:30;1;12;0;0;0
25;2019-12-19 10:44:31;1;12;0;0;0
25;2019-12-19 10:44:32;1;12;0;0;0
25;2019-12-19 10:44:33;1;12;0;0;0
25;2019-12-19 10:44:34;1;12;0;0;0
25;2019-12-19 10:44:35;1;12;0;0;0
25;2019-12-19 10:44:36;1;12;0;0;0
25;2019-12-19 10:44:37;1;12;0;0;0
25;2019-12-19 10:44:38;1;12;0;0;0
25;2019-12-19 10:44:39;1;12;0;0;0
25;2019-12-19 10:44:40;1;12;0;0;0
25;2019-12-19 10:44:41;1;12;0;0;0
25;2019-12-19 10:44:42;1;12;0;0;0
25;2019-12-19 10:44:43;1;12;0;0;0
25;2019-12-19 10:44:44;1;12;0;0;0
25;2019-12-19 10:44:45;1;12;0;0;0
25;2019-12-19 10:44:46;1;12;0;0;0
25;2019-12-19 10:44:47;1;12;0;0;0
25;2019-12-19 10:44:48;1;12;0;0;0
25;2019-12-19 10:44:49;1;12;0;0;0
25;2019-12-19 10:44:50;1;12;0;0;0
25;2019-12-19 10:44:51;1;12;0;0;0
25;2019-12-19 10:44:52;1;12;0;0;0
25;2019-12-19 10:44:53;1;12;0;0;0
25;2019-12-19 10:44:54;1;12;0;0;0
25;2019-12-19 10:44:55;1;12;0;0;0
25;2019-12-19 10:44:56;1;12;0;0;0
25;2019-12-19 10:44:57;1;12;0;0;0
25;2019-12-19 10:44:58;1;12;0;0;0
25;2019-12-19 10:44:59;1;12;0;0;0
25;2019-12-19 10:45:00;1;12;0;0;0
25;2019-12-19 10:45:01;1;12;0;0;0
25;2019-12-19 10:45:02;1;12;0;0;0
25;2019-12-19 10:45:03;1;12;0;0;0
25;2019-12-19 10:45:04;1;12;0;0;0
25;2019-12-19 10:45:05;1;12;0;0;0
25;2019-12-19 10:45:06;1;12;0;0;0
25;2019-12-19 10:45:07;1;12;0;0;0
25;2019-12-19 10:45:08;1;12;0;0;0
25;2019-12-19 10:45:09;1;12;0;0;0
25;2019-12-19 10:45:10;1;12;0;0;0
25;2019-12-19 10:45:11;1;12;0;0;0
25;2019-12-19 10:45:12;1;12;0;0;0
25;2019-12-19 10:45:13;1;12;0;0;0
25;2019-12-19 10:45:14;1;12;0;0;0
25;2019-12-19 10:45:15;1;12;0;0;0
25;2019-12-19 10:45:16;1;12;0;0;0
25;2019-12-19 10:45:17;1;12;0;0;0
25;2019-12-19 10:45:18;1;12;0;0;0
25;2019-12-19 10:45:19;1;12;0;0;0
25;2019-12-19 10:45:20;1;12;0;0;0
25;2019-12-19 10:45:21;1;12;0;0;0
25;2019-12-19 10:45:22;1;12;0;0;0
25;2019-12-19 10:45:23;1;12;0;0;0
25;2019-12-19 10:45:24;1;12;0;0;0
25;2019-12-19 10:45:25;1;12;0;0;0
25;2019-12-19 10:45:26;1;12;0;0;0
25;2019-12-19 10:45:27;1;12;0;0;0
25;2019-12-19 10:45:28;1;12;0;0;0
25;2019-12-19 10:45:29;1;12;0;0;0
25;2019-12-19 10:45:30;1;12;0;0;0
25;2019-12-19 10:45:31;1;12;0;0;0
25;2019-12-19 10:45:32;1;12;0;0;0
25;2019-12-19 10:45:33;1;12;0;0;0
25;2019-12-19 10:45:34;1;12;0;0;0
25;2019-12-19 10:45:35;1;12;0;0;0
25;2019-12-19 10:45:36;1;12;0;0;0
25;2019-12-19 10:45:37;1;12;0;0;0
25;2019-12-19 10:45:38;1;12;0;0;0
25;2019-12-19 10:45:39;1;12;0;0;0
25;2019-12-19 10:45:40;1;12;0;0;0
25;2019-12-19 10:45:41;1;12;0;0;0
25;2019-12-19 10:45:42;1;12;0;0;0
25;2019-12-19 10:45:43;1;12;0;0;0
25;2019-12-19 10:45:44;1;12;0;0;0
25;2019-12-19 10:45:45;1;12;0;0;0
25;2019-12-19 10:45:46;1;12;0;0;0
25;2019-12-19 10:45:47;1;12;0;0;0
25;2019-12-19 10:45:48;1;12;0;0;0
25;2019-12-19 10:45:49;1;12;0;0;0
25;2019-12-19 10:45:50;1;12;0;0;0
25;2019-12-19 10:45:51;1;12;0;0;0
25;2019-12-19 10:45:52;1;12;0;0;0
25;2019-12-19 10:45:53;1;12;0;0;0
25;2019-12-19 10:45:54;1;12;0;0;0
25;2019-12-19 10:45:55;1;12;0;0;0
25;2019-12-19 10:45:56;1;12;0;0;0
25;2019-12-19 10:45:57;1;12;0;0;0
25;2019-12-19 10:45:58;1;12;0;0;0
25;2019-12-19 10:45:59;1;12;0;0;0
25;2019-12-19 10:46:00;1;12;0;0;0
25;2019-12-19 10:46:01;1;12;0;0;0
25;2019-12-19 10:46:02;1;12;0;0;0
25;2019-12-19 10:46:03;1;12;0;0;0
25;2019-12-19 10:46:04;1;12;0;0;0
25;2019-12-19 10:46:05;1;12;0;0;0
25;2019-12-19 10:46:06;1;12;0;0;0
25;2019-12-19 10:46:07;1;12;0;0;0
25;2019-12-19 10:46:08;1;12;0;0;0
25;2019-12-19 10:46:09;1;12;0;0;0
25;2019-12-19 10:46:10;1;12;0;0;0
25;2019-12-19 10:46:11;1;12;0;0;0
25;2019-12-19 10:46:12;1;12;0;0;0
25;2019-12-19 10:46:13;1;12;0;0;0
25;2019-12-19 10:46:14;1;12;0;0;0
25;2019-12-19 10:46:15;1;12;0;0;0
25;2019-12-19 10:46:16;1;12;0;0;0
25;2019-12-19 10:46:17;1;12;0;0;0
25;2019-12-19 10:46:18;1;12;0;0;0
25;2019-12-19 10:46:19;1;12;0;0;0
25;2019-12-19 10:46:20;1;12;0;0;0
25;2019-12-19 10:46:21;1;12;0;0;0
25;2019-12-19 10:46:22;1;12;0;0;0
25;2019-12-19 10:46:23;1;12;0;0;0
25;2019-12-19 10:46:24;1;12;0;0;0
25;2019-12-19 10:46:25;1;12;0;0;0
25;2019-12-19 10:46:26;1;12;0;0;0
25;2019-12-19 10:46:27;1;12;0;0;0
25;2019-12-19 10:46:28;1;12;0;0;0
25;2019-12-19 10:46:29;1;12;0;0;0
25;2019-12-19 10:46:30;1;12;0;0;0
25;2019-12-19 10:46:31;1;12;0;0;0
25;2019-12-19 10:46:32;1;12;0;0;0
25;2019-12-19 10:46:33;1;12;0;0;0
25;2019-12-19 10:46:34;1;12;0;0;0
25;2019-12-19 10:46:35;1;12;0;0;0
25;2019-12-19 10:46:36;1;12;0;0;0
25;2019-12-19 10:46:37;1;12;0;0;0
25;2019-12-19 10:46:38;1;12;0;0;0
25;2019-12-19 10:46:39;1;12;0;0;0
25;2019-12-19 10:46:40;1;12;0;0;0
25;2019-12-19 10:46:41;1;12;0;0;0
25;2019-12-19 10:46:42;1;12;0;0;0
25;2019-12-19 10:46:43;1;12;0;0;0
25;2019-12-19 10:46:44;1;12;0;0;0
25;2019-12-19 10:46:45;1;12;0;0;0
25;2019-12-19 10:46:46;1;12;0;0;0
25;2019-12-19 10:46:47;1;12;0;0;0
25;2019-12-19 10:46:48;1;12;0;0;0
25;2019-12-19 10:46:49;1;12;0;0;0
25;2019-12-19 10:46:50;1;12;0;0;0
25;2019-12-19 10:46:51;1;12;0;0;0
25;2019-12-19 10:46:52;1;12;0;0;0
25;2019-12-19 10:46:53;1;12;0;15;0
25;2019-12-19 10:46:54;1;12;0;15;0
25;2019-12-19 10:46:55;1;12;0;15;0
25;2019-12-19 10:46:56;1;12;0;15;0
25;2019-12-19 10:46:57;1;12;0;15;0
25;2019-12-19 10:46:58;1;12;0;15;0
25;2019-12-19 10:46:59;1;12;0;15;0
25;2019-12-19 10:47:00;1;12;0;15;0
25;2019-12-19 10:47:01;1;12;0;15;0
25;2019-12-19 10:47:02;1;12;0;15;0
25;2019-12-19 10:47:03;1;12;0;15;0
25;2019-12-19 10:47:04;1;12;0;15;0
25;2019-12-19 10:47:05;1;12;0;15;0
25;2019-12-19 10:47:06;1;12;0;15;0
25;2019-12-19 10:47:07;1;12;0;15;0
25;2019-12-19 10:47:08;1;12;0;15;0
25;2019-12-19 10:47:09;1;12;0;15;0
25;2019-12-19 10:47:10;1;12;0;15;0
